day,infected,susceptible,recovered
0,1,999,0
1,1,999,0
2,2,998,0
3,4,996,0
4,6,994,0
5,7,992,1
6,8,990,2
7,12,986,2
8,13,983,4
9,17,978,5
10,20,972,8
11,27,963,10
12,34,955,11
13,37,948,15
14,47,933,20
15,62,913,25
16,74,893,33
17,81,877,42
18,87,857,56
19,101,837,62
20,128,802,70
21,156,759,85
22,178,723,99
23,193,685,122
24,199,654,147
25,217,617,166
26,238,571,191
27,263,525,212
28,277,485,238
29,284,447,269
30,294,412,294
31,296,383,321
32,309,340,351
33,308,310,382
34,310,278,412
35,300,253,447
36,291,236,473
37,291,214,495
38,289,189,522
39,275,175,550
40,260,160,580
41,258,143,599
42,250,129,621
43,222,119,659
44,210,111,679
45,188,106,706
46,172,102,726
47,156,96,748
48,137,94,769
49,125,88,787
50,110,88,802
51,96,87,817
52,87,86,827
53,82,84,834
54,74,84,842
55,67,81,852
56,62,80,858
57,62,74,864
58,54,71,875
59,48,71,881
60,43,70,887
61,37,69,894
62,34,69,897
63,29,69,902
64,22,69,909
65,22,69,909
66,21,69,910
67,18,69,913
68,17,69,914
69,15,69,916
70,14,69,917
71,11,69,920
72,9,69,922
73,11,67,922
74,9,67,924
75,7,67,926
76,6,67,927
77,6,67,927
78,5,67,928
79,4,67,929
80,4,67,929
81,4,67,929
82,4,67,929
83,4,67,929
84,4,67,929
85,4,67,929
86,3,67,930
87,2,67,931
88,2,67,931
89,2,67,931
90,2,67,931
91,3,66,931
92,3,66,931
93,3,66,931
94,3,66,931
95,3,66,931
96,3,66,931
97,2,66,932
98,2,66,932
99,1,66,933
100,1,66,933
101,1,66,933
102,0,66,934
103,0,66,934
104,0,66,934
105,0,66,934
106,0,66,934
107,0,66,934
108,0,66,934
109,0,66,934
110,0,66,934
111,0,66,934
112,0,66,934
113,0,66,934
114,0,66,934
115,0,66,934
116,0,66,934
117,0,66,934
118,0,66,934
119,0,66,934
120,0,66,934
121,0,66,934
122,0,66,934
123,0,66,934
124,0,66,934
125,0,66,934
126,0,66,934
127,0,66,934
128,0,66,934
129,0,66,934
130,0,66,934
131,0,66,934
132,0,66,934
133,0,66,934
134,0,66,934
135,0,66,934
136,0,66,934
137,0,66,934
138,0,66,934
139,0,66,934
140,0,66,934
141,0,66,934
142,0,66,934
143,0,66,934
144,0,66,934
145,0,66,934
146,0,66,934
147,0,66,934
148,0,66,934
149,0,66,934
150,0,66,934
151,0,66,934
152,0,66,934
153,0,66,934
154,0,66,934
155,0,66,934
156,0,66,934
157,0,66,934
158,0,66,934
159,0,66,934
160,0,66,934
161,0,66,934
162,0,66,934
163,0,66,934
164,0,66,934
165,0,66,934
166,0,66,934
167,0,66,934
168,0,66,934
169,0,66,934
170,0,66,934
171,0,66,934
172,0,66,934
173,0,66,934
174,0,66,934
175,0,66,934
176,0,66,934
177,0,66,934
178,0,66,934
179,0,66,934
180,0,66,934
181,0,66,934
182,0,66,934
183,0,66,934
184,0,66,934
185,0,66,934
186,0,66,934
187,0,66,934
188,0,66,934
189,0,66,934
190,0,66,934
191,0,66,934
192,0,66,934
193,0,66,934
194,0,66,934
195,0,66,934
196,0,66,934
197,0,66,934
198,0,66,934
199,0,66,934
